,Press release,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,
,Prefecture,Date,Prefecture,Fishing  port or area,,Japanese,English,,,,,,,,Salt or Fresh water,"Fish, Mollusca, seaweed, crsutacean, Mammal (MM), other",
4393,Fukushima,"30 November ,2011",Fukushima,Soma City,"26 November ,2011",________,"Alaskan pink shrimp
(Pandalus  eous)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
4567,Fukushima,"7 December,2011",Fukushima,Soma City,"2 December,2011",________,"Alaskan pink shrimp
(Pandalus  eous)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
5368,Fukushima,"18 January,2012",Fukushima,Soma City,"13 January,2012",________,"Alaskan pink shrimp
(Pandalus  eous)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
5840,Fukushima,"1 February,2012",Fukushima,Shinchi Town,"25 January,2012",________,"Alaskan pink shrimp
(Pandalus  eous)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
5841,Fukushima,"1 February,2012",Fukushima,Soma City,"25 January,2012",________,"Alaskan pink shrimp
(Pandalus  eous)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
6404,Fukushima,"15 February,2012",Fukushima,Shinchi Town,"10 February,2012",________,"Alaskan pink shrimp
(Pandalus  eous)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
6629,Niigata,"22 February,2012",Niigata,Niigata Port,"19 February,2012",________,"Alaskan pink shrimp
(Pandalus  eous)",Not detectable,,Not detectable,,"Environmental Science Research
Niigata",ND,ND,s,c,
7011,Yamagata,"23 February,2012",Yamagata,"Offshore
Tsuruoka City","20 February,2012",________,"Alaskan pink shrimp
(Pandalus  eous)",Not detectable,,Not detectable,,"Yamagata Prefectural Institute of Public
Health",ND,ND,s,c,
7491,Niigata,"14 March,2012",Niigata,Niigata Port,"11 March,2012",________,"Alaskan pink shrimp
(Pandalus  eous)",Not detectable,,Not detectable,,"Environmental Science Research
Niigata",ND,ND,s,c,
7570,Hokkaido,"15 March,2012",Hokkaido,"Offshore
Noboribetsu City","5 March,2012",________,"Alaskan pink shrimp
(Pandalus  eous)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,c,
1744,Niigata,"4 September,2011",Niigata,Niigata Port,"1 September,2011",________,"Alaskan pink shrimp
(Pandalus eous)",Not detectable,,Not detectable,,"Niigata Prefecture Radiation
Monitoring Center",ND,ND,s,c,
2428,Ibaraki,"4 October,2011",Ibaraki,"Offshore
Kamisu city","27 September,2011",_____,"Botan shrimp
(Pandalus  nipponesis)",1,,Not detectable,,Japan Chemical Analysis Center,1,ND,s,c,
2799,Ibaraki,"14 October,2011",Ibaraki,"Offshore
Kamisu city","10 October,2011",_____,"Botan shrimp
(Pandalus  nipponesis)",,1,Not detectable,,Japan Chemical Analysis Center,1,ND,s,c,
3297,Ibaraki,"29 October,2011",Ibaraki,"Offshore
Kamisu city","24 October,2011",_____,"Botan shrimp
(Pandalus  nipponesis)",1,,Not detectable,,Japan Chemical Analysis Center,1,ND,s,c,
3689,Ibaraki,"9 November ,2011",Ibaraki,"Offshore
Oarai Town","1 November ,2011",_____,"Botan shrimp
(Pandalus  nipponesis)",,2,Not detectable,,"Japan Frozen Foods Inspection
Corporation",2,ND,s,c,
3755,Ibaraki,"11 November ,2011",Ibaraki,"Offshore
Kamisu city","7 November ,2011",_____,"Botan shrimp
(Pandalus  nipponesis)",,2,Not detectable,,Japan Chemical Analysis Center,2,ND,s,c,
4320,Ibaraki,"28 November ,2011",Ibaraki,"Offshore
Kamisu City","21 November ,2011",_____,"Botan shrimp
(Pandalus  nipponesis)",1,,Not detectable,,Japan Chemical Analysis Center,1,ND,s,c,
4625,Ibaraki,"9 December,2011",Ibaraki,"Offshore
Kamisu City","5 December,2011",_____,"Botan shrimp
(Pandalus  nipponesis)",0.6,,Not detectable,,Private inspection facility,0.6,ND,s,c,
5041,Ibaraki,"26 December,2011",Ibaraki,"Offshore
Kamisu City","18 December,2011",_____,"Botan shrimp
(Pandalus  nipponesis)",0.5,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",0.5,ND,s,c,
5273,Ibaraki,"13 January,2012",Ibaraki,"Offshore
Kamisu City","9 January,2012",_____,"Botan shrimp
(Pandalus  nipponesis)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
5726,Ibaraki,"31 January,2012",Ibaraki,"Offshore
Kamisu City","25 January,2012",_____,"Botan shrimp
(Pandalus  nipponesis)",0.7,,Not detectable,,Japan Chemical Analysis Center,0.7,ND,s,c,
106,Ibaraki,"16 April, 2011",Ibaraki,"Offshore
Kamisu city","15 April, 2011",_____,"Botan shrimp
(Pandalus nipponesis)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",ND,ND,s,c,
236,Ibaraki,"8 May, 2011",Ibaraki,"Offshore
Kamisu City","4 May, 2011",_____,"Botan shrimp
(Pandalus nipponesis)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",ND,ND,s,c,
306,Ibaraki,"19 May, 2011",Ibaraki,"Offshore
Kamisu City","17 May, 2011",_____,"Botan shrimp
(Pandalus nipponesis)",,134,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",134,ND,s,c,
428,Ibaraki,"26 May, 2011",Ibaraki,"Offshore
Kamisu City","24 May, 2011",_____,"Botan shrimp
(Pandalus nipponesis)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",ND,ND,s,c,
1632,Chiba,"29 August, 2011",Chiba,"Choshi
Fishing Port","24 August, 2011",_____,"Botan shrimp
(Pandalus nipponesis)",,7.6,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",7.6,ND,s,c,
1881,Ibaraki,"13 September,2011",Ibaraki,"Offshore Hitachi-naka City and
Oarai Town","8 September,2011",_____,"Botan shrimp
(Pandalus nipponesis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,s,c,
1882,Ibaraki,"13 September,2011",Ibaraki,"Offshore
Kashima City","5 September,2011",_____,"Botan shrimp
(Pandalus nipponesis)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",ND,ND,s,c,
1883,Ibaraki,"13 September,2011",Ibaraki,"Offshore
Kamisu City","6 September,2011",_____,"Botan shrimp
(Pandalus nipponesis)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",ND,ND,s,c,
2558,Chiba,"7 October,2011",Chiba,"Choshi
Fishing Port","5 October,2011",________,Cocktail shrimp (Trachypenaeus curvirostris) (Whole body),,3.3,Not detectable,,"Japan Frozen Foods Inspection
Corporation",3.3,ND,s,c,
147,Ibaraki,"23 April, 2011",Ibaraki,"Offshore
between
Oarai Town
and
Hokota City","22 April, 2011",____,"Cocktail shrimp
(Trachypenaeus curvirostris)",,12,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",12,ND,s,c,
1299,Fukushima,"3 August, 2011",Fukushima,Iwaki City,"26 July, 2011",____,"Cocktail shrimp
(Trachypenaeus curvirostris)",,170,Not detectable,,"Fukushima Agricultural Technology
Centre",170,ND,s,c,
1400,Fukushima,"10 August, 2011",Fukushima,Soma City,"3 August, 2011",____,"Cocktail shrimp
(Trachypenaeus curvirostris)",,85,Not detectable,,"Fukushima Agricultural Technology
Centre",85,ND,s,c,
3436,Fukushima,"2 November ,2011",Fukushima,Minami-soma City,"29 October,2011",____,"Cocktail shrimp
(Trachypenaeus curvirostris)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
7448,Fukushima,"14 March,2012",Fukushima,Shinchi Town,"8 March,2012",______,"Helmet crab
(Telmessus  cheiragonus)",,41,Not detectable,,"Fukushima Agricultural Technology
Centre",41,ND,s,c,
7829,Miyagi,"21 March,2012",Miyagi,"Offshore
Miyagi","14 March,2012",______,"Helmet crab
(Telmessus  cheiragonus)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
5142,Fukushima,"28 December,2011",Fukushima,Okuma Town,"21 December,2011",______,"Higoromo Shrimp
(Pandalopsis coccinata)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
7449,Fukushima,"14 March,2012",Fukushima,Namie Town,"8 March,2012",______,"Higoromo Shrimp
(Pandalopsis coccinata)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
7769,Fukushima,"21 March,2012",Fukushima,Minami-soma City,"14 March,2012",______,"Higoromo Shrimp
(Pandalopsis coccinata)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
6767,Iwate,"24 February,2012",Iwate,"Offshore
Iwate","20 February,2012",________,Horsehair crab (Erimacrus  isenbeckii) (edible part),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,c,
6768,Iwate,"24 February,2012",Iwate,"Offshore
Kamaishi City","20 February,2012",________,Horsehair crab (Erimacrus  isenbeckii) (edible part),Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
3650,Fukushima,"9 November ,2011",Fukushima,Minami-soma City,"5 November ,2011",___,"Horsehair crab
(Erimacrus  isenbeckii)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
3651,Fukushima,"9 November ,2011",Fukushima,Soma City,"5 November ,2011",___,"Horsehair crab
(Erimacrus  isenbeckii)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
4484,Hokkaido,"2 December,2011",Hokkaido,"Offshore
Hiroo town","28 November ,2011",___,"Horsehair crab
(Erimacrus  isenbeckii)",Not detectable,,Not detectable,,Hokkaido Institute of Public Health,ND,ND,s,c,
4727,Fukushima,"14 December,2011",Fukushima,Minami-soma City,"10 December,2011",___,"Horsehair crab
(Erimacrus  isenbeckii)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
4813,Hokkaido,"16 December,2011",Hokkaido,"Offshore
Erimo Town","9 December,2011",___,"Horsehair crab
(Erimacrus  isenbeckii)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,c,
4839,Hokkaido,"21 December,2011",Hokkaido,"Offshore
Hiroo Town","14 December,2011",___,"Horsehair crab
(Erimacrus  isenbeckii)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
4847,Hokkaido,"21 December,2011",Hokkaido,"Offshore
Erimo Town","12 December,2011",___,"Horsehair crab
(Erimacrus  isenbeckii)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
4859,Ibaraki,"20 December,2011",Ibaraki,"Offshore
Kashima City","12 December,2011",___,"Horsehair crab
(Erimacrus  isenbeckii)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,c,
5913,Iwate,"3 February,2012",Iwate,"Offshore
Miyako City","31 January,2012",___,"Horsehair crab
(Erimacrus  isenbeckii)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
6207,Iwate,"10 February,2012",Iwate,"Offshore
Kuji City","7 February,2012",___,"Horsehair crab
(Erimacrus  isenbeckii)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
6208,Iwate,"10 February,2012",Iwate,"Offshore
Iwate","6 February,2012",___,"Horsehair crab
(Erimacrus  isenbeckii)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
6330,Fukushima,"15 February,2012",Fukushima,Iwaki City,"13 February,2012",___,"Horsehair crab
(Erimacrus  isenbeckii)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
6475,Iwate,"17 February,2012",Iwate,"Offshore
Iwate","13 February,2012",___,"Horsehair crab
(Erimacrus  isenbeckii)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
7215,Fukushima,"7 March,2012",Fukushima,Okuma Town,"29 February,2012",___,"Horsehair crab
(Erimacrus  isenbeckii)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
7237,Miyagi,"7 March,2012",Miyagi,"Offshore
Miyagi","27 February,2012",___,"Horsehair crab
(Erimacrus  isenbeckii)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
7328,Iwate,"9 March,2012",Iwate,"Offshore
Tanohata Village","5 March,2012",___,"Horsehair crab
(Erimacrus  isenbeckii)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
7555,Miyagi,"14 March,2012",Miyagi,"Offshore
Miyagi","7 March,2012",___,"Horsehair crab
(Erimacrus  isenbeckii)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
7589,Iwate,"16 March,2012",Iwate,"Offshore
Ofunato City","13 March,2012",___,"Horsehair crab
(Erimacrus  isenbeckii)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
8255,Miyagi,"28 March,2012",Miyagi,"Offshore
Karakuwa-higasi","18 March,2012",___,"Horsehair crab
(Erimacrus  isenbeckii)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,c,
8353,Iwate,"29 March,2012",Iwate,"Offshore
Iwate","26 March,2012",___,"Horsehair crab
(Erimacrus  isenbeckii)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
1166,Fukushima,"27 July, 2011",Fukushima,Iwaki City,"25 July, 2011",___,"Horsehair crab
(Erimacrus isenbeckii)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
2231,Ibaraki,"23 September,2011",Ibaraki,"Offshore Hitachi-naka City and
Oarai Town","19 September,2011",___,"Horsehair crab
(Erimacrus isenbeckii)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",ND,ND,s,c,
2830,Tokyo,"13 October,2011",Tokyo,"Oshima Town
(Habu Port)","7 October,2011",____,"Japanese spiny lobster
(Panulirus  japonicus  )",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,s,c,
2834,Chiba,"18 October,2011",Chiba,"Ohara
Fishing Port","12 October,2011",____,"Japanese spiny lobster
(Panulirus  japonicus  )",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,s,c,
4062,Tokyo,"17 November ,2011",Tokyo,"Toshima port
(Toshima Village)","13 November ,2011",____,"Japanese spiny lobster
(Panulirus  japonicus  )",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,s,c,
6014,Fukushima,"8 February,2012",Fukushima,Iwaki City,"5 February,2012",____,"Japanese spiny lobster
(Panulirus  japonicus  )",,29,Not detectable,,"Fukushima Agricultural Technology
Centre",29,ND,s,c,
454,Chiba,"31 May, 2011",Chiba,Ohara Fishing Port,"26 May, 2011",____,"Japanese spiny lobster
(Panulirus japonicus )",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,s,c,
1069,Ibaraki,"8 July, 2011",Ibaraki,"Shore of
Hitachi City","6 July, 2011",____,"Japanese spiny lobster
(Panulirus japonicus )",,58,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",58,ND,s,c,
1138,Chiba,"25 July, 2011",Chiba,"Otohama
Fishing Port","15 July, 2011",____,"Japanese spiny lobster
(Panulirus japonicus )",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,s,c,
1353,Chiba,"8 August, 2011",Chiba,Ohara Fishing Port,"2 August, 2011",____,"Japanese spiny lobster
(Panulirus japonicus )",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,s,c,
1457,Chiba,"16 August, 2011",Chiba,"Kamogawa
Fishing Port","2 August, 2011",____,"Japanese spiny lobster
(Panulirus japonicus )",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,s,c,
1904,Ibaraki,"13 September,2011",Ibaraki,"Shore of
Hitachi City","9 September,2011",____,"Japanese spiny lobster
(Panulirus japonicus )",,26,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",26,ND,s,c,
2254,Fukushima,"28 September,2011",Fukusima,Iwaki City,"26 September,2011",____,"Japanese spiny lobster
(Panulirus japonicus )",,141,Not detectable,,"Fukushima Agricultural Technology
Centre",141,ND,s,c,
4566,Fukushima,"7 December,2011",Fukushima,Shinchi Town,"2 December,2011",_____,"Japanese tiger shrimp
(Marsupenaeus japonicus)",,12,Not detectable,,"Fukushima Agricultural Technology
Centre",12,ND,s,c,
1759,Fukushima,"7 September,2011",Fukushima,Iwaki City,"5 September,2011",____,"Kishi velvet shrimp
(Metapenaeopsis dalei)",,55,Not detectable,,"Fukushima Agricultural Technology
Centre",55,ND,s,c,
3590,Fukushima,"9 November ,2011",Fukushima,Iwaki City,"4 November ,2011",____,"Kishi velvet shrimp
(Metapenaeopsis dalei)",,19,Not detectable,,"Fukushima Agricultural Technology
Centre",19,ND,s,c,
905,Fukushima,"6 July, 2011",Fukushima,Shinchi Town,"4 July, 2011",___,"Mantis shrimp
(Oratosquilla oratoria)",,50,Not detectable,,"Fukushima Agricultural Technology
Centre",50,ND,s,c,
1792,Fukushima,"7 September,2011",Fukushima,Shinchi Town,"5 September,2011",___,"Mantis shrimp
(Oratosquilla oratoria)",,20,Not detectable,,"Fukushima Agricultural Technology
Centre",20,ND,s,c,
8026,Ibaraki,"26 March,2012",Ibaraki,"Offshore
Kita-ibaraki City","20 March,2012",___,"Mantis shrimp
(Oratosquilla oratoria)",6,,Not detectable,,Japan Chemical Analysis Center,6,ND,s,c,
7614,Miyagi,"16 March,2012",Miyagi,"Offshore
Miyagi","8 March,2012","________
_________",North Pacific krill (boiled) (Euphausia  pacifica) (processed),Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,s,c,
6477,Miyagi,"17 February,2012",Miyagi,"Offshore
Oosu","14 February,2012",________,"North Pacific krill
(Euphausia  pacifica)",Not detectable,,Not detectable,,"Agriculture,  Forestry and Fisheries
Department, Miyagi prefecture",ND,ND,s,c,
7047,Miyagi,"2 March,2012",Miyagi,"Offshore Kamiwarisaki, Minami-sanriku Town","27 February,2012",________,"North Pacific krill
(Euphausia  pacifica)",Not detectable,,Not detectable,,"Agriculture,  Forestry and Fisheries
Department, Miyagi prefecture",ND,ND,s,c,
7048,Miyagi,"2 March,2012",Miyagi,"Offshore Koizumi Bay, Kesennuma City","29 February,2012",________,"North Pacific krill
(Euphausia  pacifica)",Not detectable,,Not detectable,,"Agriculture,  Forestry and Fisheries
Department, Miyagi prefecture",ND,ND,s,c,
7216,Fukushima,"7 March,2012",Fukushima,Soma City,"29 February,2012",________,"North Pacific krill
(Euphausia  pacifica)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
7558,Miyagi,"14 March,2012",Miyagi,"Offshore
Miyagi","8 March,2012",________,"North Pacific krill
(Euphausia  pacifica)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,s,c,
7612,Miyagi,"16 March,2012",Miyagi,"Offshore Sameura, Ishinomaki City","13 March,2012",________,"North Pacific krill
(Euphausia  pacifica)",Not detectable,,Not detectable,,"Agriculture,  Forestry and Fisheries
Department, Miyagi prefecture",ND,ND,s,c,
7613,Miyagi,"16 March,2012",Miyagi,"Offshore Osu, Ishinomaki City","14 March,2012",________,"North Pacific krill
(Euphausia  pacifica)",Not detectable,,Not detectable,,"Agriculture,  Forestry and Fisheries
Department, Miyagi prefecture",ND,ND,s,c,
7621,Ibaraki,"17 March,2012",Ibaraki,"Offshore
Hitachi City","14 March,2012",________,"North Pacific krill
(Euphausia  pacifica)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",ND,ND,s,c,
7865,Iwate,"23 March,2012",Iwate,"Offshore
Kamaishi City","19 March,2012",________,"North Pacific krill
(Euphausia  pacifica)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
7866,Iwate,"23 March,2012",Iwate,"Offshore
Ofunato City","19 March,2012",________,"North Pacific krill
(Euphausia  pacifica)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
7871,Miyagi,"23 March,2012",Miyagi,"Offshore
Utatsu-tomarizaki","16 March,2012",________,"North Pacific krill
(Euphausia  pacifica)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,c,
7872,Miyagi,"23 March,2012",Miyagi,"Offshore
Karakuwa-osaki","16 March,2012",________,"North Pacific krill
(Euphausia  pacifica)",,0.56,Not detectable,,Japan Chemical Analysis Center,0.56,ND,s,c,
7889,Ibaraki,"23 March,2012",Ibaraki,"Offshore
Kita-ibaraki City","19 March,2012",________,"North Pacific krill
(Euphausia  pacifica)",,5,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",5,ND,s,c,
8205,Iwate,"27 March,2012",Iwate,"Offshore
Tanohata Village","21 March,2012",________,"North Pacific krill
(Euphausia  pacifica)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
8261,Miyagi,"28 March,2012",Miyagi,"Offshore
Miyagi","21 March,2012",________,"North Pacific krill
(Euphausia  pacifica)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
8270,Miyagi,"28 March,2012",Miyagi,"Offshore
Miyagi","21 March,2012",________,"North Pacific krill
(Euphausia  pacifica)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
8272,Miyagi,"28 March,2012",Miyagi,"Offshore
Miyagi","19 March,2012",________,"North Pacific krill
(Euphausia  pacifica)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
8354,Iwate,"29 March,2012",Iwate,"Offshore
Tanohata Village","26 March,2012",________,"North Pacific krill
(Euphausia  pacifica)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
8355,Iwate,"29 March,2012",Iwate,"Offshore
Kamaishi City","26 March,2012",________,"North Pacific krill
(Euphausia  pacifica)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
8356,Iwate,"29 March,2012",Iwate,"Offshore
Ofunato City","26 March,2012",________,"North Pacific krill
(Euphausia  pacifica)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
