,Press release,,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,,,
,Prefecture,Date,,Prefecture,Fishing  port or area,,Japanese,English,,,,,,,,,Salt or Fresh water,"Fish, Mollusca, seaweed, crsutacean, Mammal (MM), other",,
374,Miyazaki,"25 May, 2011",,Miyazaki,Offshore Pacific Ocean (N34¡07_E142¡21),"17 May, 2011",____,"Albacore
(Thunnus alalunga)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,17
375,Miyazaki,"25 May, 2011",,Miyazaki,Offshore Pacific Ocean (N34¡07_E142¡21),"17 May, 2011",____,"Albacore
(Thunnus alalunga)",,10.1,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",10.1,ND,pelagic,s,f,2011,17
376,Miyazaki,"25 May, 2011",,Miyazaki,Offshore Pacific Ocean (N34¡07_E142¡21),"17 May, 2011",____,"Albacore
(Thunnus alalunga)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,17
489,National Offshore Tuna Fisheries Association of Japan,"1 June, 2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,"Offshore Pacific
Ocean
(N34¡ 0_E145¡0)","27 May, 2011",____,"Albacore
(Thunnus alalunga)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,27
579,Chiba (National Offshore Tuna Fisheries Association of Japan),"9 June, 2011",,Chiba,450 km east- southeast offshore Boso Peninsula (N33¡50_E144¡50),"3 June, 2011",____,"Albacore
(Thunnus alalunga)",,6.6,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",6.6,ND,pelagic,s,f,2011,3 
611,Chiba (National Offshore Tuna Fisheries Association of Japan),"15 June, 2011",,Chiba,"530km East- southeast offshore Boso Peninsula
(N 33¡ 18Õ E 146¡
45Õ)","10 June, 2011",____,"Albacore
(Thunnus alalunga)",,4.6,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",4.6,ND,pelagic,s,f,2011,10
705,National Offshore Tuna Fisheries Association of Japan,"22 June, 2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,"530km East offshore Boso Peninsula
(N35¡00Õ E 143¡
50Õ)","17 June, 2011",____,"Albacore
(Thunnus alalunga)",,8.3,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",8.3,ND,pelagic,s,f,2011,17
849,National Offshore Tuna Fisheries Association of Japan,"28 June, 2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,"420km East offshore Boso Peninsula
(N35¡00ÕE 145¡00Õ)","24 June, 2011",____,"Albacore
(Thunnus alalunga)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,24
869,"National
Offshore Tuna
Fisheries
Association of
Japan","5 July, 2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,"Offshore Boso
Peninsula
(N35¡00ÕE152¡50Õ)","3 July, 2011",____,"Albacore
(Thunnus alalunga)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,3 
