,Press release,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,
,Prefecture,Date,Prefecture,Fishing  port or area,,Japanese,English,,,,,,,,Salt or Fresh water,"Fish, Mollusca, seaweed, crsutacean, Mammal (MM), other",
6835,Ibaraki,"28 February,2012",Ibaraki,Kasumigaura (Nishi-ura) (inland waters),"23 February,2012","_______
____","Channel catfish (farmed)
(Ictalurus  punctatus)",15,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",15,ND,f,f,
591,Ibaraki,"14 June, 2011",Ibaraki,Kasumigaura (Nishiura) (inland waters),"13 June, 2011","_______
____","Channel catfish (farmed)
(Ictalurus punctatus)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",ND,ND,f,f,
6833,Ibaraki,"28 February,2012",Ibaraki,Kasumigaura (Nishi-ura) (inland waters),"24 February,2012",_________ __,"Channel catfish (wild)
(Ictalurus  punctatus)",119,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",119,ND,f,f,
6834,Ibaraki,"28 February,2012",Ibaraki,Kasumigaura (Kita-ura) (inland waters),"23 February,2012",_________ __,"Channel catfish (wild)
(Ictalurus  punctatus)",120,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",120,ND,f,f,
7955,Ibaraki,"23 March,2012",Ibaraki,Kasumigaura (Nishi-ura) (inland waters),"8 March,2012",_________ __,"Channel catfish (wild)
(Ictalurus  punctatus)",74,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",74,ND,f,f,
7956,Ibaraki,"23 March,2012",Ibaraki,Kasumigaura (Kita-ura) (inland waters),"16 March,2012",_________ __,"Channel catfish (wild)
(Ictalurus  punctatus)",67,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",67,ND,f,f,
126,Gunma,"19 April, 2011",Gunma,"Maebashi City
(inland waters)","15 April, 2011",______,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",Not detectable,,Not detectable,,Japan Inspection Association of Food and Food Industry Environment,ND,ND,f,f,
250,Tochigi,"13 May, 2011",Tochigi,Motegi Town (Nakagawa River) (inland waters),"10 May, 2011",______,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,460,,19,Private inspection facility,460,19,f,f,
251,Tochigi,"13 May, 2011",Tochigi,"Nasukarasuyama
City
(Nakagawa River)
(inland waters)","10 May, 2011",______,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,99,Not detectable,,Private inspection facility,99,ND,f,f,
252,Tochigi,"13 May, 2011",Tochigi,Tochigi City (Omoi River) (inland waters),"12 May, 2011",______,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,110,Not detectable,,Private inspection facility,110,ND,f,f,
253,Tochigi,"13 May, 2011",Tochigi,Utsunomiya City (Kinugawa River) (inland waters),"10 May, 2011",______,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,420,Not detectable,,Private inspection facility,420,ND,f,f,
263,Fukushima,"13 May, 2011",Fukushima,"Yamatsuri Town
(inland waters)","9 May, 2011",______,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,7.7,Not detectable,,Japan Chemical Analysis  Center,7.7,ND,f,f,
264,Fukushima,"13 May, 2011",Fukushima,"Iwaki City
(inland waters)","8 May, 2011",______,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,720,,17,Japan Chemical Analysis  Center,720,17,f,f,
307,Gunma,"19 May, 2011",Gunma,"Kanna River
(inland waters)","15 May, 2011",______,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",Not detectable,,Not detectable,,Japan Inspection Association of Food and Food Industry Environment,ND,ND,f,f,
308,Gunma,"19 May, 2011",Gunma,"Tonegawa River
(inland waters)","16 May, 2011",______,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,150,Not detectable,,Japan Inspection Association of Food and Food Industry Environment,150,ND,f,f,
