,Press release,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,
,Prefecture,Date,Prefecture,Fishing  port or area,,Japanese,English,,,,,,,,Salt or Fresh water,"Fish, Mollusca, seaweed, crsutacean, Mammal (MM), other",
1221,Japan Squid Fisheries Association,"27 July, 2011",(Landing port) Hachinohe Fishing Port in Aomori,Northwest Offshore Pacific Ocean (N42¡23_E177¡33),"8 July, 2011",____,"Neon Flying Squid,
(Ommastrephes bartramii)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,s,m,
2737,Japan Squid Fisheries Association,"12 October,2011",(Landing port) Hachinohe Fishing Port in Aomori,Offshore Hachinohe (N42¡05_E142¡05),"5 October,2011",____,"Neon Flying Squid,
(Ommastrephes bartramii)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,m,
4974,Aomori,"22 December,2011",Iwate,"Offshore
Tategasaki","8 December,2011",____,"Neon Flying Squid,
(Ommastrephes bartramii)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,m,
5078,Japan Squid Fisheries Association,"22 December,2011",Iwate (Landing port) Hachinohe Fishing Port in Aomori,Offshore Yoroizaki (N39¡58_E142¡13),"14 December,2011",____,"Neon Flying Squid,
(Ommastrephes bartramii)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,m,
4263,Aomori,"26 November ,2011",Aomori,"Offshore
Ofunato City","13 November ,2011",________,"Neon Flying Squid, (Ommastrephes bartramii) (Liver part)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,m,
4265,Aomori,"25 November ,2011",Aomori,"Offshore
Kamaishi City","12 November ,2011",________,"Neon Flying Squid, (Ommastrephes bartramii) (Liver part)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,m,
4975,Aomori,"22 December,2011",Iwate,"Offshore
Tategasaki","8 December,2011",________,"Neon Flying Squid, (Ommastrephes bartramii) (Liver part)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,m,
5079,Japan Squid Fisheries Association,"22 December,2011",Iwate (Landing port) Hachinohe Fishing Port in Aomori,Offshore Yoroizaki (N39¡58_E142¡13),"14 December,2011",________,"Neon Flying Squid, (Ommastrephes bartramii) (Liver part)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,m,
4262,Aomori,"25 November ,2011",Aomori,"Offshore
Ofunato City","13 November ,2011",________,"Neon Flying Squid, (Ommastrephes bartramii) (Muscle part)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,m,
