"Results of the inspection on radioactive materials in fisheries products (press releases in March,2011_September,  2011)",,,,,,,,,,,,,,,,,
"Note: This data sheet is a compilation of individual  test results shown in the corresponding press releases, (in Japanese) by prefectural governments, available  at the website each prefecture or  _",,,,,,,,,,,,,,,,,
http://www.jfa.maff.go.jp/j/kakou/kensa/index.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Press release,,Origin,,,Sampling date,Item,,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,,,
,Prefecture,Date,Prefecture,,Fishing  port or area,,Japanese,,English,,,,,,,,
1,Chiba,"24,March, 2011",Chiba,,Choshi,"23,March, 2011",_____,,"Alfonsino
(Beryx splendens)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
2,Chiba,"25,March, 2011",Chiba,,Choshi,"24,March, 2011",___,,"Chub mackerel
(Scomber japonicus)",Not detectable,,3.6,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
3,Chiba,"25,March, 2011",Chiba,,Choshi,"24,March, 2011",____,,"Spear squid
(Loligo bleekeri)",Not detectable,,5.6,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
4,Chiba,"25,March, 2011",Chiba,,Choshi,"24,March, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",Not detectable,,2.5,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
5,Chiba,"25,March, 2011",Chiba,,Choshi,"24,March, 2011",_______,,"Anchovy
(Engraulis japonicus)",3.0,,28,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
6,Chiba,"29,March, 2011",Chiba,,Kamogawa,"27,March, 2011",__,,"Japanese amberjack
(Seriola quinqueraduata)",Not detectable,,6.4,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
7,Chiba,"29,March, 2011",Chiba,,Funabashi,"25,March, 2011",___,,"Seabass
(Lateolabrax japonicus)",Not detectable,,5.9,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
8,Chiba,"29,March, 2011",Chiba,,Katagai,"26,March, 2011",_________,,"Clam
(Meretrix lamarckii)",Not detectable,,29,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
9,Kanagawa,"29,March, 2011",Kanagawa,,Shiba,"28,March, 2011",___,,"Sea cucumber
(Stich)us japonicus)",Not detectable,,33,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
