"Results of the inspection on radioactive materials in fisheries products (press releases in March,2011_September,  2011)",,,,,,,,,,,,,,,,,
"Note: This data sheet is a compilation of individual  test results shown in the corresponding press releases, (in Japanese) by prefectural governments, available  at the website each prefecture or  _",,,,,,,,,,,,,,,,,
http://www.jfa.maff.go.jp/j/kakou/kensa/index.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Press release,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,
,Prefecture,Date,Prefecture,Fishing  port or area,,Japanese,English,,,,,,,,Salt or Fresh water,"Fish, Mollusca, seaweed, crsutacean, Mammal (MM), other",
6121,Kanagawa,"9 February,2012",Kanagawa,"Yokosuka City
(Shin-yasuura Port)","6 February,2012",____,"_Horse clam
(Tresus keenae)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s ,f ,
8566,National Federation of Fisheries Co- operative Associations,"29 March,2012",Iwate,"Hirata,Oaza, Kamaishi City",_,"_______
____",_Rigid Hornwort (Ceratophyllum demersum) (dried)(processed),Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
7050,Miyagi,"2 March,2012",Miyagi,"Shore of
Amijishima","22 February,2012",___,"_Rigid Hornwort
(Ceratophyllum demersum)",Not detectable,,Not detectable,,"Agriculture,  Forestry and Fisheries
Department, Miyagi prefecture",ND,ND,s,s,
8418,Ibaraki,"30 March,2012",Ibaraki,"Shore of
Hitachi City","27 March,2012",___,"_Rigid Hornwort
(Ceratophyllum demersum)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",ND,ND,s,s,
7487,Fukushima,"14 March,2012",Fukushima,Iwaki City,"5 March,2012",_______,"_Rigid Hornwort(wild)
(Ceratophyllum demersum)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,s,
533,Fukushima,"9 June, 2011",Fukushima,Iwaki City,"6 June, 2011",___,"Abalone
(Haliotis sp.)",,480,,21,Japan Chemical Analysis  Center,480,21,s,m,
631,Fukushima,"16 June, 2011",Fukushima,Iwaki City,"13 June, 2011",___,"Abalone
(Haliotis sp.)",,260,,7.7,Japan Chemical Analysis  Center,260,7.7,s,m,
711,Fukushima,"23 June, 2011",Fukushima,Iwaki City,"20 June, 2011",___,"Abalone
(Haliotis sp.)",,380,Not detectable,,Japan Chemical Analysis  Center,380,ND,s,m,
722,Fukushima,"23 June, 2011",Fukushima,Soma City,"20 June, 2011",___,"Abalone
(Haliotis sp.)",,108,Not detectable,,Japan Chemical Analysis  Center,108,ND,s,m,
800,Fukushima,"29 June, 2011",Fukushima,Iwaki City,"27 June, 2011",___,"Abalone
(Haliotis sp.)",,179,Not detectable,,"Fukushima Agricultural Technology
Centre",179,ND,s,m,
894,Fukushima,"6 July, 2011",Fukushima,Iwaki City,"4 July, 2011",___,"Abalone
(Haliotis sp.)",,196,Not detectable,,"Fukushima Agricultural Technology
Centre",196,ND,s,m,
1000,Fukushima,"13 July, 2011",Fukushima,Iwaki City,"11 July, 2011",___,"Abalone
(Haliotis sp.)",,139,Not detectable,,"Fukushima Agricultural Technology
Centre",139,ND,s,m,
1097,Fukushima,"20 July, 2011",Fukushima,Iwaki City,"15 July, 2011",___,"Abalone
(Haliotis sp.)",,178,Not detectable,,"Fukushima Agricultural Technology
Centre",178,ND,s,m,
1174,Fukushima,"27 July, 2011",Fukushima,Iwaki City,"25 July, 2011",___,"Abalone
(Haliotis sp.)",,86,Not detectable,,"Fukushima Agricultural Technology
Centre",86,ND,s,m,
1305,Fukushima,"3 August, 2011",Fukushima,Iwaki City,"1 August, 2011",___,"Abalone
(Haliotis sp.)",,85,Not detectable,,"Fukushima Agricultural Technology
Centre",85,ND,s,m,
1378,Fukushima,"10 August, 2011",Fukushima,Iwaki City,"8 August, 2011",___,"Abalone
(Haliotis sp.)",,93,Not detectable,,"Fukushima Agricultural Technology
Centre",93,ND,s,m,
1555,Fukushima,"24 August, 2011",Fukushima,Iwaki City,"22 August, 2011",___,"Abalone
(Haliotis sp.)",,148,Not detectable,,"Fukushima Agricultural Technology
Centre",148,ND,s,m,
1941,Fukushima,"14 September,2011",Fukusima,Iwaki City,"8 September,2011",___,"Abalone
(Haliotis sp.)",,75,Not detectable,,"Fukushima Agricultural Technology
Centre",75,ND,s,m,
2109,Fukushima,"21 September,2011",Fukusima,Iwaki City,"15 September,2011",___,"Abalone
(Haliotis sp.)",,37,Not detectable,,"Fukushima Agricultural Technology
Centre",37,ND,s,m,
3245,Miyagi,"27 October,2011",Miyagi,Ishinomaki Bay,"21 October,2011",___,"Abalone
(Haliotis sp.)",,4,Not detectable,,Tohoku University,4,ND,s,m,
3401,Fukushima,"2 November ,2011",Fukushima,Iwaki City,"31 October,2011",___,"Abalone
(Haliotis sp.)",,34,Not detectable,,"Fukushima Agricultural Technology
Centre",34,ND,s,m,
3877,Fukushima,"16 November ,2011",Fukushima,Iwaki City,"10 November ,2011",___,"Abalone
(Haliotis sp.)",,16,Not detectable,,"Fukushima Agricultural Technology
Centre",16,ND,s,m,
4366,Fukushima,"30 November ,2011",Fukushima,Iwaki City,"27 November ,2011",___,"Abalone
(Haliotis sp.)",,51,Not detectable,,"Fukushima Agricultural Technology
Centre",51,ND,s,m,
4694,Fukushima,"14 December,2011",Fukushima,Iwaki City,"11 December,2011",___,"Abalone
(Haliotis sp.)",,11,Not detectable,,"Fukushima Agricultural Technology
Centre",11,ND,s,m,
