,Press release,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,
,Prefecture,Date,Prefecture,Fishing  port or area,,Japanese,English,,,,,,,,Salt or Fresh water,"Fish, Mollusca, seaweed, crsutacean, Mammal (MM), other",
584,Miyagi,"14 June, 2011",Miyagi,"Shore of Togezaki, Ogatsu Town","10 June, 2011",___,"Common sea squirt
(Halocynthia roretzi)",Not detectable,,Not detectable,,Tohoku University,ND,ND,s,o,
2713,Fukushima,"12 October,2011",Fukushima,Shinchi Town,"6 October,2011",___,"Common sea squirt
(Halocynthia roretzi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,o,
5848,Fukushima,"1 February,2012",Fukushima,Minami-soma City,"26 January,2012",___,"Common sea squirt
(Halocynthia roretzi)",,11,Not detectable,,"Fukushima Agricultural Technology
Centre",11,ND,s,o,
6620,Fukushima,"22 February,2012",Fukushima,Soma City,"16 February,2012",___,"Common sea squirt
(Halocynthia roretzi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,o,
2509,Fukushima,"5 October,2011",Fukushima,Hirono Town,"27 September,2011",____,"Japanese common sea cucumber
(Stichopus  japonicus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,o,
2712,Fukushima,"12 October,2011",Fukushima,Shinchi Town,"6 October,2011",____,"Japanese common sea cucumber
(Stichopus  japonicus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,o,
5951,Ibaraki,"3 February,2012",Ibaraki,"Offshore
Kita-ibaraki City","25 January,2012",____,"Japanese common sea cucumber
(Stichopus  japonicus)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",ND,ND,s,o,
6120,Kanagawa,"9 February,2012",Kanagawa,"Yokosuka City
(Shin-yasuura Port)","6 February,2012",____,"Japanese common sea cucumber
(Stichopus  japonicus)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,o,
6619,Fukushima,"22 February,2012",Fukushima,Soma City,"16 February,2012",____,"Japanese common sea cucumber
(Stichopus  japonicus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,o,
8283,Miyagi,"28 March,2012",Miyagi,"Offshore
Miyagi","19 March,2012",____,"Japanese common sea cucumber
(Stichopus  japonicus)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,o,
1109,Fukushima,"20 July, 2011",Fukushima,Soma City,"15 July, 2011",____,"Japanese common sea cucumber
(Stichopus japonicus)",,13,Not detectable,,"Fukushima Agricultural Technology
Centre",13,ND,s,o,
1798,Fukushima,"7 September,2011",Fukushima,Shinchi Town,"5 September,2011",____,"Japanese common sea cucumber
(Stichopus japonicus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,o,
1943,Fukushima,"14 September,2011",Fukusima,Iwaki City,"8 September,2011",____,"Japanese common sea cucumber
(Stichopus japonicus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,o,
1986,Fukushima,"14 September,2011",Fukusima,Minami-soma City,"10 September,2011",____,"Japanese common sea cucumber
(Stichopus japonicus)",,29,Not detectable,,"Fukushima Agricultural Technology
Centre",29,ND,s,o,
2111,Fukushima,"21 September,2011",Fukusima,Iwaki City,"15 September,2011",____,"Japanese common sea cucumber
(Stichopus japonicus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,o,
2257,Fukushima,"28 September,2011",Fukusima,Iwaki City,"26 September,2011",____,"Japanese common sea cucumber
(Stichopus japonicus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,o,
2317,Fukushima,"28 September,2011",Fukusima,Shinchi Town,"26 September,2011",____,"Japanese common sea cucumber
(Stichopus japonicus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,o,
366,Ibaraki,"24 May, 2011",Ibaraki,"Shore of
Kitaibaraki City","22 May, 2011",____,"Japanese common sea
cucumber
(Stichopus japonicus)",,17,,11,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",17,11,s,o,
725,Fukushima,"23 June, 2011",Fukushima,Soma City,"20 June, 2011",____,"Japanese common sea
cucumber
(Stichopus japonicus)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,ND,ND,s,o,
1024,Fukushima,"13 July, 2011",Fukushima,Soma City,"11 July, 2011",____,"Japanese common sea
cucumber
(Stichopus japonicus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,o,
365,Ibaraki,"24 May, 2011",Ibaraki,"Shore of
Kitaibaraki City","22 May, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,371,,20,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",371,20,s,o,
432,Miyagi,"26 May, 2011",Miyagi,"Shore of
Shichigahama","25 May, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,2.9,Not detectable,,Tohoku University,2.9,ND,s,o,
456,Ibaraki,"31 May, 2011",Ibaraki,"Shore of
Hitachinaka City","27 May, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,12,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",12,ND,s,o,
464,Fukushima,"2 June, 2011",Fukushima,Iwaki City,"28 May, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,"1,280",Not detectable,,Japan Chemical Analysis  Center,1280,ND,s,o,
505,Ibaraki,"7 June, 2011",Ibaraki,"Shore of
Hitachinaka City","6 June, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",18,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",18,ND,s,o,
513,Ibaraki,"7 June, 2011",Ibaraki,"Shore of
Kitaibaraki City","7 June, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",370,,5,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",370,5,s,o,
516,Ibaraki,"7 June, 2011",Ibaraki,"Shore of
Oarai Town","7 June, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",25,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",25,ND,s,o,
532,Fukushima,"9 June, 2011",Fukushima,Iwaki City,"6 June, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,680,Not detectable,,Japan Chemical Analysis  Center,680,ND,s,o,
613,Ibaraki,"15 June, 2011",Ibaraki,"Offshore
Hitachi city","14 June, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,49,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",49,ND,s,o,
632,Fukushima,"16 June, 2011",Fukushima,Iwaki City,"13 June, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,480,Not detectable,,Japan Chemical Analysis  Center,480,ND,s,o,
678,Ibaraki,"21 June, 2011",Ibaraki,"Shore of
Hitachi City","20 June, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,51,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",51,ND,s,o,
701,Miyagi,"22 June, 2011",Miyagi,Shore of Enoshima,"20 June, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",Not detectable,,Not detectable,,Tohoku University,ND,ND,s,o,
712,Fukushima,"23 June, 2011",Fukushima,Iwaki City,"20 June, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,430,Not detectable,,Japan Chemical Analysis  Center,430,ND,s,o,
726,Fukushima,"23 June, 2011",Fukushima,Soma City,"20 June, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,42,Not detectable,,Japan Chemical Analysis  Center,42,ND,s,o,
804,Fukushima,"29 June, 2011",Fukushima,Iwaki City,"27 June, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,920,Not detectable,,"Fukushima Agricultural Technology
Centre",920,ND,s,o,
895,Fukushima,"6 July, 2011",Fukushima,Iwaki City,"4 July, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,320,Not detectable,,"Fukushima Agricultural Technology
Centre",320,ND,s,o,
960,Ibaraki,"12 July, 2011",Ibaraki,"Shore of
Oarai town","11 July, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,36,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",36,ND,s,o,
1001,Fukushima,"13 July, 2011",Fukushima,Iwaki City,"11 July, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,550,Not detectable,,"Fukushima Agricultural Technology
Centre",550,ND,s,o,
1098,Fukushima,"20 July, 2011",Fukushima,Iwaki City,"15 July, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,510,Not detectable,,"Fukushima Agricultural Technology
Centre",510,ND,s,o,
1175,Fukushima,"27 July, 2011",Fukushima,Iwaki City,"25 July, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,203,Not detectable,,"Fukushima Agricultural Technology
Centre",203,ND,s,o,
1306,Fukushima,"3 August, 2011",Fukushima,Iwaki City,"1 August, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,230,Not detectable,,"Fukushima Agricultural Technology
Centre",230,ND,s,o,
1379,Fukushima,"10 August, 2011",Fukushima,Iwaki City,"8 August, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,198,Not detectable,,"Fukushima Agricultural Technology
Centre",198,ND,s,o,
1429,Miyagi,"10 August, 2011",Miyagi,Shore of Osuhama,"6 August, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",Not detectable,,Not detectable,,Tohoku University,ND,ND,s,o,
1556,Fukushima,"24 August, 2011",Fukushima,Iwaki City,"22 August, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,950,Not detectable,,"Fukushima Agricultural Technology
Centre",950,ND,s,o,
1659,Fukushima,"31 August, 2011",Fukushima,Iwaki City,"29 August, 2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,260,Not detectable,,"Fukushima Agricultural Technology
Centre",260,ND,s,o,
1942,Fukushima,"14 September,2011",Fukusima,Iwaki City,"8 September,2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,450,Not detectable,,"Fukushima Agricultural Technology
Centre",450,ND,s,o,
2110,Fukushima,"21 September,2011",Fukusima,Iwaki City,"15 September,2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,215,Not detectable,,"Fukushima Agricultural Technology
Centre",215,ND,s,o,
3402,Fukushima,"2 November ,2011",Fukushima,Iwaki City,"31 October,2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,330,Not detectable,,"Fukushima Agricultural Technology
Centre",330,ND,s,o,
3878,Fukushima,"16 November ,2011",Fukushima,Iwaki City,"10 November ,2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,210,Not detectable,,"Fukushima Agricultural Technology
Centre",210,ND,s,o,
4367,Fukushima,"30 November ,2011",Fukushima,Iwaki City,"27 November ,2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,390,Not detectable,,"Fukushima Agricultural Technology
Centre",390,ND,s,o,
4695,Fukushima,"14 December,2011",Fukushima,Iwaki City,"11 December,2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,1660,Not detectable,,"Fukushima Agricultural Technology
Centre",1660,ND,s,o,
5116,Fukushima,"28 December,2011",Fukushima,Iwaki City,"23 December,2011",________,"Northern sea urchin
(Strongylocentrotus nudus)",,151,Not detectable,,"Fukushima Agricultural Technology
Centre",151,ND,s,o,
5341,Fukushima,"18 January,2012",Fukushima,Iwaki City,"15 January,2012",________,"Northern sea urchin
(Strongylocentrotus nudus)",,134,Not detectable,,"Fukushima Agricultural Technology
Centre",134,ND,s,o,
6031,Fukushima,"8 February,2012",Fukushima,Iwaki City,"5 February,2012",________,"Northern sea urchin
(Strongylocentrotus nudus)",,95,Not detectable,,"Fukushima Agricultural Technology
Centre",95,ND,s,o,
6209,Miyagi,"10 February,2012",Miyagi,"Shore of Ogatsu,Ishinomaki City","7 February,2012",________,"Northern sea urchin
(Strongylocentrotus nudus)",Not detectable,,Not detectable,,"Agriculture,  Forestry and Fisheries
Department, Miyagi prefecture",ND,ND,s,o,
6534,Fukushima,"22 February,2012",Fukushima,Iwaki City,"20 February,2012",________,"Northern sea urchin
(Strongylocentrotus nudus)",,127,Not detectable,,"Fukushima Agricultural Technology
Centre",127,ND,s,o,
7157,Fukushima,"7 March,2012",Fukushima,Iwaki City,"5 March,2012",________,"Northern sea urchin
(Strongylocentrotus nudus)",,68,Not detectable,,"Fukushima Agricultural Technology
Centre",68,ND,s,o,
8100,Fukushima,"28 March,2012",Fukushima,Iwaki City,"22 March,2012",________,"Northern sea urchin
(Strongylocentrotus nudus)",,100,Not detectable,,"Fukushima Agricultural Technology
Centre",100,ND,s,o,
5581,Fukushima,"25 January,2012",Fukushima,Soma City,"18 January,2012",_____,"Sea cucumber
(Parastichopus gripunctatus )",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,o,
803,Fukushima,"29 June, 2011",Fukushima,Iwaki City,"27 June, 2011",_____,"Sea cucumber
(Parastichopus gripunctatus
)",,34,Not detectable,,"Fukushima Agricultural Technology
Centre",34,ND,s,o,
824,Fukushima,"29 June, 2011",Fukushima,Minami-soma City,"27 June, 2011",_____,"Sea cucumber
(Parastichopus gripunctatus
)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,o,
1009,Fukushima,"13 July, 2011",Fukushima,Mimami-soma City,"11 July, 2011",_____,"Sea cucumber
(Parastichopus gripunctatus
)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,o,
1190,Fukushima,"27 July, 2011",Fukushima,Mimami-soma City,"25 July, 2011",_____,"Sea cucumber
(Parastichopus gripunctatus
)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,o,
1797,Fukushima,"7 September,2011",Fukushima,Soma City,"29 August, 2011",_____,"Sea cucumber
(Parastichopus gripunctatus
)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,o,
9,Kanagawa,"29,March, 2011",Kanagawa,Shiba,"28,March, 2011",___,"Sea cucumber
(Stich)us japonicus)",Not detectable,,33,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,33,s,o,
84,Kanagawa,"13,April, 2011",Kanagawa,Shiba,"11,April, 2011",___,"Sea cucumber
(Stich)us japonicus)",Not detectable,,,7.2,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,7.2,s,o,
171,Kanagawa,"26 April, 2011",Kanagawa,Shiba fishing port,"25 April, 2011",___,"Sea cucumber
(Stich)us japonicus)",,1.7,,2.9,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",1.7,2.9,s,o,
3246,Miyagi,"27 October,2011",Miyagi,Ishinomaki Bay,"21 October,2011",___,"Sea cucumber
(Stich)us japonicus)",Not detectable,,Not detectable,,Tohoku University,ND,ND,s,o,
4786,Miyagi,"15 December,2011",Miyagi,Ishinimaki Bay,"9 December,2011",___,"Sea cucumber
(Stich)us japonicus)",Not detectable,,Not detectable,,Tohoku University,ND,ND,s,o,
5444,Yokohama City,"20 January,2012",Kanagawa,"Offshore
Yokohama City","18 January,2012",___,"Sea cucumber
(Stich)us japonicus)",Not detectable,,Not detectable,,"Yokohama City Institute of Public
Health",ND,ND,s,o,
