,Press release,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,
,Prefecture,Date,Prefecture,Fishing  port or area,,Japanese,English,,,,,,,,Salt or Fresh water,"Fish, Mollusca, seaweed, crsutacean, Mammal (MM), other",
4084,Chiba,"21 November ,2011",Chiba,"Katagai
Fishing Port","20 November ,2011",____,"Green laver
(Ulva spp.)",Not detectable,,Not detectable,,Tokyo Quarantine Station,ND,ND,s,s,
5860,Kanagawa,"30 January,2012",Kanagawa,Miura City (Kaneda Fishing Port),"25 January,2012",____,"Akamoku seaweed
(Sargassum  horneri)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,s,
6124,Kanagawa,"9 February,2012",Kanagawa,Kamakura City (Shore of Kamakura),"6 February,2012",____,"Akamoku seaweed
(Sargassum  horneri)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
7020,Kanagawa,"2 March,2012",Kanagawa,Yokosuka City (Sajima Fishing Port),"27 February,2012",____,"Akamoku seaweed
(Sargassum  horneri)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,s,
7021,Kanagawa,"2 March,2012",Kanagawa,Zushi City (Kotsubo Fishing Port),"27 February,2012",____,"Akamoku seaweed
(Sargassum  horneri)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,s,
398,Fukushima,"26 May, 2011",Fukushima,Iwaki City,"21 May, 2011",_______,"Arame seaweed
(Eisenia bicyclis)",970,,"1,100",,Japan Chemical Analysis  Center,970,1100,s,s,
554,Fukushima,"9 June, 2011",Fukushima,Iwaki City,"6 June, 2011",_______,"Arame seaweed
(Eisenia bicyclis)",,660,,640,Japan Chemical Analysis  Center,660,640,s,s,
555,Fukushima,"9 June, 2011",Fukushima,Iwaki City,"6 June, 2011",_______,"Arame seaweed
(Eisenia bicyclis)",,940,,930,Japan Chemical Analysis  Center,940,930,s,s,
639,Fukushima,"16 June, 2011",Fukushima,Iwaki City,"13 June, 2011",_______,"Arame seaweed
(Eisenia bicyclis)",,420,,860,Japan Chemical Analysis  Center,420,860,s,s,
925,Fukushima,"6 July, 2011",Fukushima,Iwaki City,"4 July, 2011",_______,"Arame seaweed
(Eisenia bicyclis)",,890,,47,"Fukushima Agricultural Technology
Centre",890,47,s,s,
1043,Fukushima,"13 July, 2011",Fukushima,"Iwaki City
(Offshore Ena)","11 July, 2011",_______,"Arame seaweed
(Eisenia bicyclis)",,550,,40,"Fukushima Agricultural Technology
Centre",550,40,s,s,
1123,Fukushima,"20 July, 2011",Fukushima,Iwaki City,"15 July, 2011",_______,"Arame seaweed
(Eisenia bicyclis)",,360,,20,"Fukushima Agricultural Technology
Centre",360,20,s,s,
1215,Fukushima,"27 July, 2011",Fukushima,Iwaki City,"25 July, 2011",_______,"Arame seaweed
(Eisenia bicyclis)",,320,Not detectable,,"Fukushima Agricultural Technology
Centre",320,ND,s,s,
1418,Fukushima,"10 August, 2011",Fukushima,Iwaki City,"8 August, 2011",_______,"Arame seaweed
(Eisenia bicyclis)",,150,Not detectable,,"Fukushima Agricultural Technology
Centre",150,ND,s,s,
1479,Fukushima,"16 August, 2011",Fukushima,Iwaki City,"15 August, 2011",_______,"Arame seaweed
(Eisenia bicyclis)",,260,Not detectable,,"Fukushima Agricultural Technology
Centre",260,ND,s,s,
