,Press release,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,,,
,Prefecture,Date,Prefecture,Fishing  port or area,,Japanese,English,,,,,,,,,Salt or Fresh water,"Fish, Mollusca, seaweed, crsutacean, Mammal (MM), other",,
40,Ibaraki,"5,April, 2011",Ibaraki,"Offshore
Hitachinaka city","4,April, 2011",____,"Fat greenling
(Hexagrammos otakii)",10,,,260,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",10,260,demersal,s,f,2011,"4,"
324,Fukushima,"19 May, 2011",Fukushima,Iwaki City,"16 May, 2011",____,"Fat greenling
(Hexagrammos otakii)",,163,Not detectable,,Japan Chemical Analysis  Center,163,ND,demersal,s,f,2011,16
387,Fukushima,"26 May, 2011",Fukushima,Iwaki City,"23 May, 2011",____,"Fat greenling
(Hexagrammos otakii)",380,,Not detectable,,Japan Chemical Analysis  Center,380,ND,demersal,s,f,2011,23
495,Kawasaki City,"3 June, 2011",Kanagawa,Around Higashi- ogijima breakwater,"31 May, 2011",____,"Fat greenling
(Hexagrammos otakii)",28.3,,Not detectable,,"Kawasaki City Institute for Public
Health",28.3,ND,demersal,s,f,2011,31
536,Fukushima,"9 June, 2011",Fukushima,Iwaki City,"6 June, 2011",____,"Fat greenling
(Hexagrammos otakii)",,780,Not detectable,,Japan Chemical Analysis  Center,780,ND,demersal,s,f,2011,6 
595,Fukushima,"15 June, 2011",Fukushima,Soma City,"8 June, 2011",____,"Fat greenling
(Hexagrammos otakii)",,203,Not detectable,,"Fukushima Branch, Environmental Radioactivity Monitoring Center of Fukushima",203,ND,demersal,s,f,2011,8 
625,Fukushima,"16 June, 2011",Fukushima,Iwaki City,"13 June, 2011",____,"Fat greenling
(Hexagrammos otakii)",,"1,780",Not detectable,,Japan Chemical Analysis  Center,1780,ND,demersal,s,f,2011,13
638,Fukushima,"16 June, 2011",Fukushima,Soma City,"13 June, 2011",____,"Fat greenling
(Hexagrammos otakii)",,68,Not detectable,,Japan Chemical Analysis  Center,68,ND,demersal,s,f,2011,13
692,Fukushima,"22 June, 2011",Fukushima,Iwaki City,"20 June, 2011",____,"Fat greenling
(Hexagrammos otakii)",,390,Not detectable,,"Fukushima Agricultural Technology
Centre",390,ND,demersal,s,f,2011,20
716,Fukushima,"23 June, 2011",Fukushima,Soma City,"16 June, 2011",____,"Fat greenling
(Hexagrammos otakii)",,"1,780",Not detectable,,Japan Chemical Analysis  Center,1780,ND,demersal,s,f,2011,16
721,Fukushima,"23 June, 2011",Fukushima,Soma City,"20 June, 2011",____,"Fat greenling
(Hexagrammos otakii)",,146,Not detectable,,Japan Chemical Analysis  Center,146,ND,demersal,s,f,2011,20
768,Fukushima,"29 June, 2011",Fukushima,Iwaki City,"27 June, 2011",____,"Fat greenling
(Hexagrammos otakii)",,450,Not detectable,,"Fukushima Agricultural Technology
Centre",450,ND,demersal,s,f,2011,27
769,Fukushima,"29 June, 2011",Fukushima,Iwaki City,"27 June, 2011",____,"Fat greenling
(Hexagrammos otakii)",,250,Not detectable,,"Fukushima Agricultural Technology
Centre",250,ND,demersal,s,f,2011,27
805,Fukushima,"29 June, 2011",Fukushima,Soma City,"26 June, 2011",____,"Fat greenling
(Hexagrammos otakii)",,114,Not detectable,,"Fukushima Agricultural Technology
Centre",114,ND,demersal,s,f,2011,26
875,Fukushima,"6 July, 2011",Fukushima,Iwaki City,"4 July, 2011",____,"Fat greenling
(Hexagrammos otakii)",,530,Not detectable,,"Fukushima Agricultural Technology
Centre",530,ND,demersal,s,f,2011,4 
876,Fukushima,"6 July, 2011",Fukushima,Iwaki City,"4 July, 2011",____,"Fat greenling
(Hexagrammos otakii)",,"1,990",Not detectable,,"Fukushima Agricultural Technology
Centre",1990,ND,demersal,s,f,2011,4 
928,Miyagi,"6 July, 2011",Miyagi,Sendai Bay,"3 July, 2011",____,"Fat greenling
(Hexagrammos otakii)",,10,Not detectable,,Tohoku University,10,ND,demersal,s,f,2011,3 
970,Fukushima,"13 July, 2011",Fukushima,Iwaki City,"11 July, 2011",____,"Fat greenling
(Hexagrammos otakii)",,720,Not detectable,,"Fukushima Agricultural Technology
Centre",720,ND,demersal,s,f,2011,11
1011,Fukushima,"13 July, 2011",Fukushima,Soma City,"7 July, 2011",____,"Fat greenling
(Hexagrammos otakii)",,132,Not detectable,,"Fukushima Agricultural Technology
Centre",132,ND,demersal,s,f,2011,7 
1012,Fukushima,"13 July, 2011",Fukushima,Soma City,"7 July, 2011",____,"Fat greenling
(Hexagrammos otakii)",,140,Not detectable,,"Fukushima Agricultural Technology
Centre",140,ND,demersal,s,f,2011,7 
1013,Fukushima,"13 July, 2011",Fukushima,Soma City,"11 July, 2011",____,"Fat greenling
(Hexagrammos otakii)",,121,Not detectable,,"Fukushima Agricultural Technology
Centre",121,ND,demersal,s,f,2011,11
1077,Fukushima,"20 July, 2011",Fukushima,Iwaki City,"15 July, 2011",____,"Fat greenling
(Hexagrammos otakii)",,3000,Not detectable,,"Fukushima Agricultural Technology
Centre",3000,ND,demersal,s,f,2011,15
