Press release,,Origin,,Sampling date,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,
Prefecture,Date,Prefecture,Fishing  port or area,,English,,,,,,,,Salt or Fresh water,"Fish, Mollusca, seaweed, crsutacean, Mammal (MM), other"
Ibaraki,"28 February,2012",Ibaraki,Kasumigaura (Nishi-ura) (inland waters),"23 February,2012","Channel catfish (farmed)
(Ictalurus  punctatus)",15,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",15,ND,f,f
Ibaraki,"14 June, 2011",Ibaraki,Kasumigaura (Nishiura) (inland waters),"13 June, 2011","Channel catfish (farmed)
(Ictalurus punctatus)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",ND,ND,f,f
Ibaraki,"28 February,2012",Ibaraki,Kasumigaura (Nishi-ura) (inland waters),"24 February,2012","Channel catfish (wild)
(Ictalurus  punctatus)",119,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",119,ND,f,f
Ibaraki,"28 February,2012",Ibaraki,Kasumigaura (Kita-ura) (inland waters),"23 February,2012","Channel catfish (wild)
(Ictalurus  punctatus)",120,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",120,ND,f,f
Ibaraki,"23 March,2012",Ibaraki,Kasumigaura (Nishi-ura) (inland waters),"8 March,2012","Channel catfish (wild)
(Ictalurus  punctatus)",74,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",74,ND,f,f
Ibaraki,"23 March,2012",Ibaraki,Kasumigaura (Kita-ura) (inland waters),"16 March,2012","Channel catfish (wild)
(Ictalurus  punctatus)",67,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",67,ND,f,f
Gunma,"19 April, 2011",Gunma,"Maebashi City
(inland waters)","15 April, 2011","Ayu sweetfish(wild)
(Plecoglossus altivelis)",Not detectable,,Not detectable,,Japan Inspection Association of Food and Food Industry Environment,ND,ND,f,f
Tochigi,"13 May, 2011",Tochigi,Motegi Town (Nakagawa River) (inland waters),"10 May, 2011","Ayu sweetfish(wild)
(Plecoglossus altivelis)",,460,,19,Private inspection facility,460,19,f,f
Tochigi,"13 May, 2011",Tochigi,"Nasukarasuyama
City
(Nakagawa River)
(inland waters)","10 May, 2011","Ayu sweetfish(wild)
(Plecoglossus altivelis)",,99,Not detectable,,Private inspection facility,99,ND,f,f
