F#,Date,time,depth,Temperature,Salinity,Latitude,Longitude,Cs137 (Bq/m^3),Error (±Bq/m^3),Cs134 (Bq/m^3),Error (±Bq/m^3),
P29,4/15/13,2:12,500,11.7828,34.3414,30.0001,147.7915,4.8,0.2,4.0,0.6,
P30,4/15/13,2:12,300,16.3365,34.66163333,30.0001,147.7915,5.8,0.2,2.7,0.2,
P31,4/15/13,2:12,150,17.21736667,34.7225,30.0001,147.7915,,,,,
P32,4/15/13,2:12,37.25,17.61395,34.670525,30.0001,147.7915,3.8,0.2,1.5,0.5,
P35,4/17/13,17:35,500,11.24093333,34.29346667,29.9999,154.72,,,,,
P36,4/17/13,17:35,300,16.20396667,34.64206667,29.9999,154.72,,,,,
P37,4/17/13,17:35,150,17.94573333,34.76456667,29.9999,154.72,4.5,0.2,2.7,0.5,
P38,4/17/13,17:35,37,19.6166,34.90005,29.9999,154.72,,,,,
P40,4/19/13,20:12,615,7.854275,34.1395,29.9997,160.0016,,,,,
P41,4/19/13,20:12,310,15.845825,34.628425,29.9997,160.0016,,,,,
P42,4/19/13,20:12,136.6666667,17.08526667,34.7111,29.9997,160.0016,,,,,
P43,4/19/13,20:12,32.75,19.0258,34.854525,29.9997,160.0016,,,,,
P45,4/22/13,13:29,535,9.5731,34.18906667,30.0013,166.06,,,,,
P46,4/22/13,13:29,315,15.19773333,34.56673333,30.0013,166.06,,,,,
P47,4/22/13,13:29,165,16.75836667,34.6753,30.0013,166.06,,,,,
P48,4/22/13,13:29,46,18.31996667,34.75726667,30.0013,166.06,,,,,
P51,4/25/13,18:04,537.5,8.992975,34.144425,29.9994,173.3397,2.7,0.1,0.7,0.1,
P52,4/25/13,18:04,310,14.207725,34.4773,29.9994,173.3397,,,,,
P53,4/25/13,18:14,132.5,17.083575,34.69015,29.9994,173.3397,2.7,0.1,1.3,0.2,
P54,4/25/13,18:04,32,18.73633333,34.88896667,29.9994,173.3397,,,,,
P57,4/28/13,22:53,524.6666667,8.3247,34.10923333,30.0002,178.4468,,,,,
P58,4/28/13,22:53,305,13.26793333,34.4185,30.0002,178.4468,5.8,0.2,3.3,0.3,
P59,4/28/13,22:53,155,16.36736667,34.63076667,30.0002,178.4468,5.9,0.2,5.0,0.3,
P60,4/28/13,22:53,38.25,18.661225,34.90655,30.0002,178.4468,4.6,0.1,3.1,0.2,
P62,4/29/13,21:38,535,8.318766667,34.10786667,30,-177.2689,1.6,0.1,bd,bd,
P63,4/29/13,21:38,315,13.05233333,34.38873333,30,-177.2689,4.7,0.1,2.7,0.3,
P64,4/29/13,21:38,165,16.01293333,34.5787,30,-177.2689,7.6,0.2,5.4,0.3,
P65,4/29/13,21:38,46,18.441025,34.89085,30,-177.2689,5.0,0.2,2.8,0.3,
P69,5/2/13,19:57,500,8.433933333,34.09353333,30.0001,-168.6079,1.4,0.1,bd,bd,
P70,5/2/13,19:57,300,12.25226667,34.31273333,30.0001,-168.6079,1.9,0.1,bd,bd,
P71,5/2/13,19:57,150,15.69523333,34.52603333,30.0001,-168.6079,4.3,0.1,2.9,0.2,
P72,5/2/13,19:57,38.25,18.902675,34.88615,30.0001,-168.6079,3.5,0.1,2.5,0.7,
P73,5/14/13,4:30,535,7.473266667,34.0376,29.9997,-160.5927,1.3,0.1,0,0,
P74,5/14/13,4:30,315,11.35443333,34.24936667,29.9997,-160.5927,2.3,0.1,0,0,
P75,5/14/13,4:30,165,14.32523333,34.35156667,29.9997,-160.5927,4.9,0.1,3.1,0.2,
P76,5/14/13,4:30,45.75,18.09415,34.539775,29.9997,-160.5927,4.6,0.1,2.7,0.2,
P77,5/17/13,11:16,500,7.642166667,34.03726667,30.0001,-152,1.5,0.1,bd,bd,
P78,5/17/13,11:16,300,11.51673333,34.18636667,30.0001,-152,1.5,0.1,bd,bd,
P79,5/17/13,11:16,150,17.5363,34.79503333,30.0001,-152,2.3,0.2,bd,bd,
P80,5/17/13,11:16,38.25,20.2446,35.0434,30.0001,-152,2.0,0.1,bd,bd,
P81,5/21/13,12:30,471.6666667,7.016733333,34.0003,30,-142.5819,1.8,0.1,bd,bd,
P82,5/21/13,12:30,285,10.7883,34.09253333,30,-142.5819,1.6,0.1,bd,bd,
P83,5/21/13,12:30,136.6666667,16.7306,34.57026667,30,-142.5819,1.7,0.1,bd,bd,
P84,5/21/13,12:30,32,19.817675,34.865225,30,-142.5819,2.0,0.2,bd,bd,
P85,5/25/13,7:09,395,7.1152,34.00066667,29.9998,-133.3647,1.4,0.1,bd,bd,
P86,5/25/13,7:09,235,10.24106667,33.83106667,29.9998,-133.3647,1.7,0.1,bd,bd,
P87,5/25/13,7:09,96.66666667,16.58913333,34.1575,29.9998,-133.3647,1.7,0.1,bd,bd,
P88,5/25/13,7:09,21,17.48053333,33.9495,29.9998,-133.3647,1.7,0.1,bd,bd,
P89,5/30/13,6:58,375,6.8447,34.149625,31.2793,-121.2663,0.9,0.1,bd,bd,
P90,5/30/13,6:58,175,9.287125,33.752275,31.2793,-121.2663,1.3,0.1,bd,bd,
P91,5/30/13,6:58,38,15.024575,33.36675,31.2793,-121.2663,1.7,0.1,bd,bd,
