F#,Date,time,depth,Temperature,Salinity,Latitude,Longitude,Cs137 (Bq/m^3),Error (±Bq/m^3),Cs134 (Bq/m^3),Error (±Bq/m^3),
3001,9/9/13,415,0.5,22.48,33.134,36.5,141.5,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
3002,9/9/13,430,51.5,14.74,33.39,36.50,141.50,1.9,0.1,0.9,0.3,
3003,9/9/13,430,101.9,10.26,33.73,36.50,141.50,1.9,0.1,NaN,NaN,
3004,9/9/13,430,200.5,6.68,33.80,36.50,141.50,2.1,0.1,NaN,NaN,
3005,9/9/13,430,302.3,3.28,33.57,36.50,141.50,1.6,0.1,0.5,0.0,
3006,9/9/13,430,498.8,3.24,33.89,36.50,141.50,1.0,0.1,NaN,NaN,
3012,9/10/13,300,0.5,23.56,33.212,37.42,141.3,1.8,0.1,0.3,0.2,
3013,9/10/13,315,20.2,22.65,33.55,37.42,141.30,2.0,0.1,NaN,NaN,
3014,9/10/13,315,51.0,19.00,33.89,37.42,141.30,1.9,0.1,1.6,0.4,
3015A,9/10/13,315,80.9,17.49,33.91,37.42,141.30,-,,,,
3015B,,,,,,37.42,141.30,1.9,0.1,NaN,NaN,
3016,9/10/13,315,112.8,11.00,33.69,37.42,141.30,2.2,0.1,2.8,0.5,
3017,9/10/13,320,0.5,23.56,33.258,37.42,141.30,1.9,0.1,0.8,0.3,
3019,9/10/13,930,0.5,22.92,33.116,37.42,141.18,2.0,0.1,2.0,0.4,
3020,9/10/13,935,0.5,22.9,33.108,37.42,141.18,1.8,0.1,NaN,NaN,
3021,9/10/13,945,19.9,21.69,33.67,37.42,141.18,2.0,0.1,NaN,NaN,
3022,9/10/13,945,40.0,21.26,33.74,37.42,141.18,1.9,0.1,Nan,NaN,
3023,9/10/13,945,52.3,20.73,33.72,37.42,141.18,2.9,0.2,NaN,NaN,
3025,9/10/13,1430,0.5,22.86,33.062,37.42,141.10,2.9,0.2,NaN,NaN,
3026,9/10/13,1445,0.5,23.52,33.216,37.42,141.10,2.4,0.1,0.7,0.1,
3027,9/10/13,1500,5.6,23.46,33.44,37.42,141.10,1.8,0.1,1.1,0.4,
3028,9/10/13,1500,15.0,23.05,33.51,37.42,141.10,1.7,0.1,NaN,NaN,
3029,9/10/13,1500,23.4,22.56,33.56,37.42,141.10,1.7,0.1,NaN,NaN,
3031,9/10/13,2200,0.5,23.08,30.546,37.42,141.05,35.0,0.8,34.0,0.9,
3032,9/10/13,2215,0.5,23.3,31.372,37.42,141.05,34.0,0.8,30.4,0.8,
3033,9/10/13,2230,1.7,23.18,31.39,37.42,141.05,21.4,0.5,19.4,0.7,
3034,9/10/13,2230,5.0,23.24,32.99,37.42,141.05,15.4,0.4,13.5,0.6,
3035,9/10/13,2230,9.9,22.66,33.38,37.42,141.05,8.8,0.3,6.8,0.4,
3036,9/11/13,230,0.5,23.7,30.346,37.42,141.05,132.1,2.7,121.9,2.5,
