F#,Date,time,depth,Temperature,Salinity,Latitude,Longitude,Cs137 (Bq/m^3),Error (±Bq/m^3),Cs134 (Bq/m^3),Error (±Bq/m^3)
In GEOSECS             3000,9/8/13,2100,0.5,22.7,33.242,36.50,141.00,,,,
3007,9/9/13,1630,0.5,23.4,33.244,37.00,141.50,2.3,0.1,1.5,0.3
3008,9/9/13,2020,0.5,23,33.364,37.00,141.33,1.9,0.1,2.0,0.3
3009,9/9/13,2140,0.5,23.2,33.304,37.00,141.17,2.3,0.2,0.8,0.3
3010,9/9/13,2230,0.5,22.88,33.178,37.00,141.08,4.6,0.2,5.5,0.5
3011,9/10/13,14,0.5,23.3,33.23,37.25,141.08,2.1,0.1,1.8,0.4
3018,9/10/13,800,0.5,23.1,33.216,37.42,141.24,2.1,0.1,0.8,0.3
3024,9/10/13,1345,0.5,22.76,33.144,37.42,141.14,2.1,0.1,NaN,NaN
3030,9/10/13,2150,0.5,22.76,31.228,37.42,141.08,9.9,0.3,9.1,0.5
3037,9/11/13,500,0.5,23.84,32.874,37.33,141.08,7.4,0.2,5.8,0.4
3038,9/11/13,1145,0.5,24.14,30.246,37.50,141.08,9.3,0.3,7.8,0.4
3039,9/11/13,2000,0.5,23,33.316,37.50,141.50,1.9,0.1,NaN,NaN
