F#,Date,time,depth,Temperature,Salinity,Latitude,Longitude,Cs137 (Bq/m^3),Error (±Bq/m^3),Cs134 (Bq/m^3),Error (±Bq/m^3)
111,6/6/11,22:04,20,20.4099,34.713,33.995,146.987,3.3,0.2,2.4,0.3
112,6/6/11,22:04,50,20.1661,34.715,33.995,146.987,3,0.2,, -   
113,6/6/11,22:04,100,18.7055,34.715,33.995,146.987,9.2,0.3,11,0.7
115,6/6/11,22:04,447,7.6336,33.92,33.995,146.987,14.2,0.7,11,0.7
116,6/6/11,22:04,575,3.5682,33.648,33.995,146.987,1.1,0.3, bd , -   
144,6/7/11,14:48,20,20.7137,34.706,34.971,147.022,1.7,0.3, bd , -   
145,6/7/11,14:48,50,19.144,34.713,34.971,147.022,1.8,0.2, bd , -   
146,6/7/11,14:48,100,18.4062,34.755,34.971,147.022,2.1,0.2, bd , -   
147,6/7/11,14:48,200,16.3317,34.657,34.971,147.022,2.5,0.2, bd , -   
148,6/7/11,20:10,400,7.6126,34.04,34.971,147.022,8.5,0.9, bd ,0.7
149,6/7/11,20:10,500,6.2092,34.152,34.971,147.022,2,0.3, bd , -   
150,6/7/11,20:10,750,4.3354,34.287,34.971,147.022,0.5,0.2, bd , -   
151,6/7/11,20:10,1000,3.2386,34.351,34.971,147.022,0.3,0.1, bd , -   
174,6/8/11,15:53,20,18.2306,34.672,35.993,147.016,1.9,0.3, bd , -   
175,6/8/11,15:53,50,15.3101,34.578,35.993,147.016,51.8,1.2,50.9,0.9
176,6/8/11,15:53,100,12.0528,34.414,35.993,147.016,2.9,0.3,1.2,0.2
178,6/8/11,15:53,160,8.7001,34.061,35.993,147.016,15.3,0.4,14.1,0.4
185,6/8/11,20:09,20,15.9481,34.576,36.5,147.011,5.7,0.3,4.3,0.3
186,6/8/11,20:09,50,12.8079,34.469,36.5,147.011,2.8,0.3, bd , -   
187,6/8/11,20:09,100,10.4964,34.333,36.5,147.011,2,0.3, bd , -   
188,6/8/11,20:09,200,5.7045,33.717,36.5,147.011,12.5,0.9,10.3,0.8
194,6/9/11,0:45,20,15.5304,34.175,37.003,147,180,3.8,185.4,2.4
195,6/9/11,0:45,50,14.0001,34.217,37.003,147,203.7,5.9,205.9,5.3
196,6/9/11,0:45,100,10.5828,34.294,37.003,147,24.1,1.3,21.5,1.5
211,6/9/11,13:25,20,10.8468,33.583,37.984,147.021,28.9,0.7,29.3,0.6
212,6/9/11,13:25,50,9.2278,33.561,37.984,147.021,27,1,25.4,0.9
213,6/9/11,13:25,100,8.2661,33.915,37.984,147.021,36.7,0.8,34.7,0.5
215,6/9/11,13:25,300,5.6802,33.689,37.984,147.021,1,0.1, bd , -   
225,6/10/11,6:59,20,12.2716,33.897,37.998,143.996,61.9,1.7,60.9,1.5
226,6/10/11,6:59,50,11.5779,34.047,37.998,143.996,57,2.5,57.4,2.7
227,6/10/11,6:59,100,8.8816,33.955,37.998,143.996,31.9,1.2,30.9,1.3
241,6/10/11,19:55,20,11.7132,33.874,36.996,144.004,20.9,0.5,19.8,0.5
242,6/10/11,19:55,50,10.8462,33.864,36.996,144.004,123.3,4.5,121.8,4.4
243,6/10/11,19:55,100,9.1764,34.015,36.996,144.004,23.8,0.5,21.6,0.3
255,6/11/11,0:12,20,21.1257,34.466,36.487,144.024,2.6,0.2,1.2,0.1
256,6/11/11,0:12,50,19.5038,34.74,36.487,144.024,2.1,0.3, bd , -   
257,6/11/11,0:12,100,17.6082,34.595,36.487,144.024,3.4,0.4,1.6,0.4
258,6/11/11,0:12,200,13.6764,34.504,36.487,144.024,1.6,0.1, bd , -   
251,6/11/11,0:12,430,4.1838,33.752,36.487,144.024,1.4,0.2, bd , -   
252,6/11/11,0:12,500,3.9168,33.851,36.487,144.024,1.2,0.1, bd , -   
253,6/11/11,0:12,720,3.8642,34.207,36.487,144.024,0.7,0.1, bd , -   
262,6/11/11,5:44,20,21.1522,34.733,35.996,144.006,2.1,0.6, bd , -   
260,6/11/11,5:44,50,20.6312,34.723,35.996,144.006,2.8,0.4,1.2,0.2
261,6/11/11,5:44,100,19.2924,34.759,35.996,144.006,2.4,0.3, bd , -   
