F#,Date,time,depth,Temperature,Salinity,Latitude,Longitude,Cs137 (Bq/m^3),Error (±Bq/m^3),Cs134 (Bq/m^3),Error (±Bq/m^3)
216,6/9/11,19:28,sink,16.51367476,33.96088595,37.998,146.308,204.7,5.3,199.2,4.2
217,6/10/11,0:02,sink,17.50330273,34.29335388,38,145.317,92.3,3.8,90.7,3.8
218,6/10/11,4:11,sink,15.28441587,33.44156937,38.001,144.417,99.9,3.5,104.2,3.4
277,6/11/11,17:56,sink,21.14398591,34.33307242,35.566,143.949,2,0.2, bd , -   
278,6/11/11,22:07,sink,21.25740216,34.48735072,35.936,143.725,2,0.2, bd , -   
279,6/12/11,1:54,sink,21.84469135,34.29311667,36.288,143.358,1.8,0.3, bd , -   
563,6/16/11,17:56,sink,17.99910281,33.06708109,36.455,141.948,"2,650.80",54.6,"2,758.50",31.8
577,6/16/11,18:51,sink,17.51501317,32.743171,36.455,141.948,"4,496.80",105.8,"4,575.00",76.8
604,6/18/11,4:18,sink,18.01462485,33.49550409,37.247,141.698,416.8,10.7,417.9,8.5
605,6/18/11,5:55,sink,18.36276431,33.64274862,36.988,141.699,250.3,9.4,247.9,9.1
606,6/18/11,7:04,sink,17.47672167,33.45601242,36.834,141.702,371,8.3,370.9,5.5
607,6/18/11,9:58,sink,17.73704938,32.87062169,36.406,141.641,"1,863.00",41.7,"1,848.70",27.8
608,6/18/11,13:13,sink,21.46013288,33.64184455,35.991,141.693,2.3,0.2, bd ,
609,6/18/11,15:17,sink,22.10821167,33.69921924,35.788,141.534,1.7,0.2, bd ,
