F#,Date,time,depth,Temperature,Salinity,Latitude,Longitude,Cs137 (Bq/m^3),Error (±Bq/m^3),Cs134 (Bq/m^3),Error (±Bq/m^3)
122,6/7/11,6:35,surf,20.972,34.691,34.498,147,2.6,0.6,1.7,0.5
167,6/8/11,6:45,surf,18.887,34.335,35.502,146.999,316.9,9.8,314.9,8.6
173,6/8/11,12:20,surf,19.47,34.541,35.993,147.016,25.2,0.7,23.3,0.7
198,6/9/11,0:38,surf,16.124,34.173,36.991,147,201.8,5.3,203.1,4.2
204,6/9/11,0:45,surf,17.158,34.312,37.502,147,336.4,8.4,333.6,6.6
205,6/9/11,13:35,surf,17.064,34.219,37.984,147.021,71.5,2.1,70.3,1.8
219,6/10/11,6:23,surf,15.096,33.525,37.998,143.996,166.2,5.2,167.3,4.8
229,6/10/11,13:30,surf,15.947,33.909,37.511,144.003,99.5,3.1,104.1,2.9
235,6/10/11,18:22,surf,19.006,34.35,36.996,144.004,89.1,2,85.8,1.4
245,6/11/11,5:47,surf,21.128,34.733,35.996,144.006,2.3,0.4,1.1,0.6
267,6/12/11,4:56,surf,21.114,34.498,36.504,143.01,3.3,0.2,1.5,0.2
284,6/12/11,11:15,surf,18.978,34.285,36.999,143,204.2,4.7,204.3,3.3
290,6/12/11,16:35,surf,18.05545645,33.84409069,37.505,142.995,235.8,5.4,244.4,3.9
333,6/13/11,3:50,surf,18.662,34.436,38,143.003,22.2,0.7,21.9,0.6
339,6/13/11,10:35,surf,17.593,34.241,37.501,142.486,211.3,6,222.6,5.2
373,6/13/11,22:13,surf,18.375,34.279,38,142.501,211.3,5.9,216.2,5
381,6/14/11,2:02,surf,17.39954,33.56419289,37.767,142.261,387.7,8.3,396.1,5.2
420,6/14/11,4:42,surf,17.633,33.963,37.496,142,821.8,17.6,834.3,10.9
421,6/14/11,14:35,surf,17.80931271,33.46917729,37.733,142.026,474.7,11.8,476,9.1
422,6/14/11,16:47,surf,19.576,34.519,38.001,141.997,43.2,1.4,42.2,1.3
435,6/14/11,20:55,surf,17.47377332,32.93836378,37.757,141.708,379.5,10.6,403.2,9.3
436,6/15/11,0:25,surf,18.42825947,33.36909853,37.531,141.446,582.3,13.9,594.9,10.3
474,6/15/11,14:20,surf,16.52098229,33.24850281,37.333,141.424,748.7,19.3,773.1,15.7
475,6/15/11,16:08,surf,17.09,33.949,36.998,141.4,460.3,11,464.7,8.2
488,6/15/11,19:15,surf,17.365,33.338,36.745,141.404,536.7,13.5,555.7,10.8
527,6/15/11,21:30,surf,17.365,33.338,36.497,141.398,716.6,19.5,752.7,16.7
528,6/16/11,9:52,surf,19.71583896,33.50663625,36.25,141.402,538.8,11.6,551.3,7.3
529,6/16/11,11:59,surf,17.446,33.983,36.006,141.399,7.9,0.6,6.5,0.6
536,6/16/11,16:00,surf,19.14970229,33.14946927,36.244,141.717,"1,622.40",39.3,"1,704.90",30.7
537,6/16/11,18:50,surf,17.32,33.254,36.498,142.01,"3,477.00",70.3,"3,564.90",37.3
578,6/17/11,10:50,surf,17.882,33.927,36.496,142.495,720.2,17.5,737.8,13.3
587,6/17/11,16:25,surf,18.064,33.899,36.999,142.5,439.9,11,453.3,8.7
595,6/17/11,21:15,surf,18.493,34.065,36.998,142.001,326.7,7.7,331.7,5.7
