F#,Date,time,depth,Temperature,Salinity,Latitude,Longitude,Cs137 (Bq/m^3),Error (±Bq/m^3),Cs134 (Bq/m^3),Error (±Bq/m^3)
624,4/20/11,,10,2.35,33.01,47,160,7.6,0.3,6.9,0.3
626,4/26/11,,0,11.96,34.28,38.1,146.4,9.5,0.6,8,0.8
633,4/28/11,,10,19.48,34.74,30,145,3.2,0.3,1.3,0.4
629,7/7/11,,0,8.38,32.76,47,160,10.1,0.6,8.4,0.7
625,7/9/11,,0,12.21,32.61,44,155,58.9,2.6,56.7,2.8
631,7/11/11,,5,22.10,34.08,38.1,146.4,519.8,10.6,520,7.6
627,7/13/11,,0,22.73,34.02,36.5,141.5,132.1,2.9,126.3,2.2
632,7/19/11,,0,18.60,33.52,37.3,141.5,143.6,3.5,139.4,3
628,7/29/11,,0,26.56,34.60,30,145,2.8,0.3,1.9,0.5
630,7/31/11,,5,26.55,34.47,32.3,144.5,3.3,0.6,1.4,0.9
