F#,Date,time,depth,Temperature,Salinity,Latitude,Longitude,Cs137 (Bq/m^3),Error (±Bq/m^3),Cs134 (Bq/m^3),Error (±Bq/m^3)
T2-01,6/14/12,,3,20.2,34.6,33.4,150.41,3.7,0.4,1.8,0.5
T2-02,6/16/12,,3,21.6,34.8,31.04,156,3.5,0.3,1.4,0.4
T2-03,6/18/12,,3,25.2,35.1,30.19,160.43,2.3,0.3,0.9,0.4
T2-04,6/20/12,,3,23,34.7,30.49,166.02,5.5,0.3,4.2,0.3
T2-05,6/22/12,,3,24.6,35.1,29.19,170.46,3.2,0.3,1.6,0.5
T2-06,6/24/12,,3,24.7,34.6,28.48,175.7,2.8,0.3,1.4,0.4
T2-07,6/26/12,,3,24.8,35,29.95,179.21,3,0.2,1.6,0.4
T2-08,6/27/12,,3,24.3,34.5,31.12,-174.28,5.5,0.3,3.8,0.3
T2-09,6/30/12,,3,25.6,35.4,27.88,-169.59,1.7,0.3,bd,-
T2-10,7/3/12,,3,25.5,35.3,24.38,-164.81,1.4,0.3,bd,-
