F#,Date,time,depth,Temperature,Salinity,Latitude,Longitude,Cs137 (Bq/m^3),Error (±Bq/m^3),Cs134 (Bq/m^3),Error (±Bq/m^3)
F1002,5/11/12,,3,14.6,34.24,37.50,141.50,4.3,0.3,2.5,0.4
F1006,5/11/12,19:50,20,14.4483,34.35965,37.50,141.50,4.4,0.5,3.0,0.7
F1007,5/11/12,19:48,50,6.938666667,33.57376667,37.50,141.50,9.8,0.6,7.9,0.7
F1008,5/11/12,19:46,100,5.7916,33.5244,37.50,141.50,6.8,0.5,5.8,0.6
F1009,5/11/12,19:45,130,5.957233333,33.61206667,37.50,141.50,3.3,0.4,1.2,0.6
F1013,5/12/12,,3,15.2,34.32,36.68,141.46,3.1,0.3,1.8,0.5
F1017,5/12/12,7:09,20,14.9592,34.44315,36.68,141.46,3.0,0.4,1.8,0.6
F1018,5/12/12,7:07,50,13.32085,34.4225,36.68,141.46,3.9,0.4,2.5,0.5
F1019,5/12/12,7:06,100,10.97965,34.2592,36.68,141.46,8.5,0.6,6.9,0.8
F1020,5/12/12,7:04,200,6.85005,33.8633,36.68,141.46,4.5,0.4,3.7,0.5
F1021,5/12/12,7:00,400,4.3926,33.83305,36.68,141.46,1.0,0.3,bd,-
F1022,5/12/12,6:56,600,3.80645,34.1454,36.68,141.46,0.8,0.2,bd,-
F1023,5/15/12,,3,13.9,34.1333,37.50,142.00,6.2,0.5,5.1,0.6
F1027,5/15/12,5:30,20,13.052,34.31395,37.50,142.00,5.4,0.4,4.0,0.5
F1028,5/15/12,5:29,50,12.3542,34.2892,37.50,142.00,5.7,0.5,4.6,0.7
F1029,5/15/12,5:27,100,8.72355,34.0506,37.50,142.00,5.4,0.4,3.7,0.5
F1030,5/15/12,5:25,200,5.58855,33.7214,37.50,142.00,4.6,0.5,3.4,0.6
F1031,5/15/12,5:22,400,4.0004,33.8843,37.50,142.00,1.0,0.2,bd,-
F1032,5/15/12,5:19,520,3.8563,34.06555,37.50,142.00,1.1,0.2,bd,-
F1048,5/16/12,,3,16.0444,34.14111,37.00,141.50,4.3,0.3,2.6,0.4
F1052,5/16/12,11:45,20,13.66065,34.3094,37.00,141.50,4.8,0.5,3.1,0.7
F1053,5/16/12,11:44,50,13.15435,34.36675,37.00,141.50,4.4,0.4,3.3,0.5
F1054,5/16/12,11:42,100,9.94655,34.1679,37.00,141.50,8.9,0.5,7.8,0.7
F1055,5/16/12,11:40,150,8.10185,33.93845,37.00,141.50,8.9,0.6,7.9,0.8
F1056,5/16/12,11:39,200,6.06425,33.67575,37.00,141.50,5.2,0.5,3.2,0.7
F1057,5/16/12,11:37,290,5.715,33.6523,37.00,141.50,4.9,0.4,3.6,0.5
F1068,5/17/12,,3,15,32.87333,36.50,141.00,76.7,3.9,77.5,4.9
F1072,5/17/12,3:17,20,14.32555,34.4355,36.50,141.00,3.9,0.2,2.2,0.3
F1073,5/17/12,3:16,50,11.872,34.33955,36.50,141.00,5.1,0.3,3.8,0.4
F1074,5/17/12,3:15,100,8.32615,33.9514,36.50,141.00,9.1,0.6,8.1,0.8
F1075,5/17/12,3:14,150,7.4586,33.8426,36.50,141.00,8.5,0.5,7.3,0.6
F1076,5/17/12,3:12,200,6.81265,33.7652,36.50,141.00,6.2,0.5,4.9,0.8
F1077,5/17/12,3:10,290,6.6918,33.7673,36.50,141.00,5.9,0.4,5.3,0.6
