F#,Date,time,depth,Temperature,Salinity,Latitude,Longitude,Cs137 (Bq/m^3),Error (±Bq/m^3),Cs134 (Bq/m^3),Error (±Bq/m^3)
F1000,5/11/12,1550,3,11.5,30.87,38.04,141.28,9.0,0.6,8.9,0.8
F1001,5/11/12,1720,3,10.8,32.83,37.25,141.38,10.2,0.5,8.1,0.7
F1012,5/12/12,315,3,14.8,34.26,37.17,141.43,3.7,0.5,2.3,0.6
F1033,5/13/12,1215,3,14.6,34.32,38.28,143.51,4.4,0.5,2.3,0.7
F1034,5/13/12,2100,3,14.5,34.15,38.13,144.75,4.7,0.4,4.2,0.6
F1035,5/14/12,320,3,15,34.25,38.16,144.46,3.7,0.4,2.4,0.5
F1037,5/14/12,1020,3,14.5,34.18,38.31,144.62,5.7,0.5,3.6,0.8
F1038,5/14/12,1800,3,15.3,34.18,38.28,143.11,3.0,0.4,1.6,0.6
F1039,5/14/12,2010,3,12.4,33.83,38.29,143.62,7.3,0.5,5.4,0.6
F1046,5/16/12,800,3,12.8,33.26,37.59,141.42,7.7,0.6,5.3,0.8
F1047,5/16/12,945,3,14.6,33.99,37.29,141.44,4.8,0.4,3.6,0.5
F1064,5/16/12,1935,3,16.7,33.85,36.50,141.67,7.3,0.6,6.3,0.8
F1082,5/17/12,740,3,16.6,33.77,36.00,141.33,12.3,0.7,10.8,1.0
F1084,5/17/12,1115,3,22.7,34.34,35.46,141.61,1.3,0.2,bd,-
F1086,5/17/12,1850,3,22.7,34.38,35.13,140.90,1.3,0.3,bd,-
F1088,5/17/12,2325,3,19.6,34.17,34.99,140.28,1.8,0.3,bd,-
