F#,Date,time,depth,Temperature,Salinity,Latitude,Longitude,Cs137 (Bq/m^3),Error (±Bq/m^3),Cs134 (Bq/m^3),Error (±Bq/m^3)
2008,5/14/13,23:50,0,9.850,33.456,37.500,141.500,2.4,0.1,,
2001,5/14/13,23:17,5,9.101,33.560,37.500,141.500,1.8,0.1,,
2002,5/14/13,23:17,20,8.192,33.566,37.500,141.500,1.6,0.1,,
2003,5/14/13,23:17,50,7.762,33.592,37.500,141.500,1.4,0.1,,
2004,5/14/13,23:17,75,7.286,33.622,37.500,141.500,2.1,0.1,,
2005,5/14/13,23:17,100,6.854,33.647,37.500,141.500,2.1,0.1,,
2006,5/14/13,23:17,125,6.817,33.693,37.500,141.500,2.6,0.1,0.3,0.1
2011,5/15/13,7:50,0,10.720,33.239,37.551,141.126,8.1,0.3,5.6,0.4
2013,5/15/13,7:45,10,9.018,33.364,37.551,141.126,4.9,0.2,2.9,0.3
2012,5/15/13,7:45,25,8.850,33.581,37.551,141.126,7.6,0.2,4.8,0.3
2018,5/16/13,7:22,0,11.510,33.320,37.417,141.298,17.0,0.4,14.0,0.5
2025,5/16/13,8:37,5,10.727,33.380,37.417,141.299,9.1,0.2,6.3,0.2
2024,5/16/13,8:37,20,8.435,33.447,37.417,141.299,2.9,0.1,2.1,0.2
2023,5/16/13,8:37,35,7.716,33.621,37.417,141.299,3.5,0.1,1.4,0.2
2022,5/16/13,8:37,50,6.842,33.598,37.417,141.299,2.4,0.1,0.8,0.1
2021,5/16/13,8:37,70,6.165,33.611,37.417,141.299,3.9,0.2,2.9,0.3
2020,5/16/13,8:37,77,6.460,33.663,37.417,141.299,2.6,0.1,1.1,0.1
2019,5/16/13,8:37,110,6.166,33.620,37.417,141.299,3.3,0.1,5.0,0.3
2034,5/17/13,3:42,0,11.240,33.205,37.419,141.181,4.2,0.2,3.3,0.3
2038,5/17/13,3:50,5,10.682,33.284,37.417,141.178,4.3,0.1,2.8,0.2
2037,5/17/13,3:50,20,8.592,33.470,37.417,141.178,3.2,0.1,2.0,0.2
2036,5/17/13,3:50,30,8.391,33.608,37.417,141.178,7.0,0.2,4.6,0.3
2035,5/17/13,3:50,50,8.471,33.636,37.417,141.178,9.0,0.3,7.9,0.3
2030,5/17/13,1:00,0,12.530,33.257,37.416,141.100,35.6,0.8,31.1,0.8
2029,5/17/13,0:50,4.5,11.954,33.392,37.416,141.099,28.6,0.7,26.6,0.7
2028,5/17/13,0:50,8.5,11.807,33.383,37.416,141.099,31.2,0.7,28.9,0.8
2027,5/17/13,0:50,25,9.619,33.663,37.416,141.099,24.6,0.6,21.5,0.6
2055,5/19/13,1:20,0,11.940,33.232,36.914,141.000,16.4,0.4,13.8,0.4
2054,5/19/13,1:15,4,11.071,33.370,36.914,141.001,9.5,0.3,8.0,0.3
2053,5/19/13,1:15,20,9.710,33.632,36.914,141.001,3.0,0.1,1.2,0.2
2052,5/19/13,1:15,40,8.074,33.576,36.914,141.001,6.1,0.2,3.4,0.3
2051,5/19/13,1:15,60,7.291,33.590,36.914,141.001,5.8,0.2,4.9,0.3
2056,5/19/13,5:10,0,12.650,33.308,36.917,141.089,11.7,0.3,9.9,0.4
2062,5/19/13,5:30,5,12.315,33.388,36.917,141.089,12.9,0.3,10.4,0.4
2061,5/19/13,5:30,25,9.549,33.544,36.917,141.089,2.8,0.1,2.3,0.3
2060,5/19/13,5:30,50,7.991,33.651,36.917,141.089,2.2,0.1,0.5,0.2
2059,5/19/13,5:30,75,7.264,33.722,36.917,141.089,2.0,0.1,,
2058,5/19/13,5:30,100,7.022,33.734,36.917,141.089,2.2,0.1,0.7,0.2
