F#,Date,time,depth,Temperature,Salinity,,Latitude,Longitude,Cs137 (Bq/m^3),Error (±Bq/m^3),Cs134 (Bq/m^3),Error (±Bq/m^3)
2009,15-May-13,6:00,0,10.59,33.348,33.291,37.549,141.334,7.2,0.2,4.3,0.2
2010,15-May-13,6:30,0,10.75,33.324,33.23,37.547,141.236,4.1,0.2,2.8,0.3
2014,15-May-13,22:25,0,10.33,33.323,33.193,37.550,141.126,4.7,0.1,2.8,0.2
2016,16-May-13,2:07,0,9.93,33.356,33.261,37.550,141.219,3.9,0.2,2.2,0.3
2040,17-May-13,10:20,0,11.38,33.300,33.217,37.394,141.146,4.8,0.2,2.8,0.2
2033,17-May-13,2:42,0,13,33.338,33.268,37.404,141.087,33.2,0.8,29.5,0.8
2041,17-May-13,12:50,0,12.13,33.360,33.223,37.219,141.099,45.1,1.0,41.3,1.0
2042,17-May-13,14:40,0,12.03,33.298,33.197,37.110,141.067,15.4,0.4,13.3,0.4
2043,17-May-13,15:10,0,11.7,33.529,,37.000,141.037,11.8,0.3,10.1,0.4
2044,17-May-13,16:10,0,12.34,33.425,33.261,36.916,140.956,23.4,0.5,21.0,0.6
2065,19-May-13,10:20,0,12.4,33.303,33.201,36.917,141.002,13.9,0.4,11.8,0.4
2066,19-May-13,20:02,0,11.8,33.531,33.456,36.918,141.212,2.9,0.1,1.2,0.2
2084,20-May-13,21:00,0,11.73,33.407,33.335,37.284,141.087,37.7,0.8,37.0,0.9
2077,20-May-13,5:45,0,12.55,33.568,33.472,37.038,141.278,6.3,0.2,5.0,0.3
2078,20-May-13,7:00,0,12.6,33.368,33.241,37.160,141.174,25.9,0.6,22.6,0.7
2091,21-May-13,6:50,0,12.4,33.391,33.284,37.159,141.289,8.5,0.3,6.4,0.4
2092,21-May-13,7:50,0,12.26,33.524,33.418,37.080,141.409,6.2,0.2,4.5,0.3
2100,21-May-13,13:10,0,13.3,33.576,33.551,36.751,141.506,1.9,0.1,-,
2111,22-May-13,2:20,0,14.03,33.869,33.777,36.500,141.252,2.4,0.2,1.1,0.4
